,Day,Price,Sentiment
4687,20150918,2.69,-0.12183909118175507
4688,20150921,2.61,0.0489645955654291
4689,20150922,2.61,0.0489645955654291
4690,20150923,2.62,-0.47305674163194805
4691,20150924,2.62,-0.47305674163194805
4692,20150925,2.6,-0.3720721762913924
4693,20150928,2.66,-0.5578327373816416
4694,20150929,2.57,-0.4890455901622772
4695,20150930,2.47,-0.5505976436229852
4696,20151001,2.37,-0.10829035135415885
4697,20151002,2.37,-0.10829035135415885
4698,20151005,2.34,-0.5443048236461786
4699,20151006,2.35,0.10345571201581222
4700,20151007,2.35,0.10345571201581222
4701,20151008,2.35,0.10345571201581222
4702,20151009,2.49,-0.6586652019849191
4703,20151012,2.48,-0.28024788200855255
4704,20151013,2.47,-0.5505976436229852
4705,20151014,2.47,-0.5505976436229852
4706,20151015,2.54,-0.3385685304036507
4707,20151016,2.42,-0.31956703043901
4708,20151019,2.43,-0.3093797266483307
4709,20151020,2.46,-0.5037054717540741
4710,20151021,2.37,-0.10829035135415885
4711,20151022,2.37,-0.10829035135415885
4712,20151023,2.28,-0.10278100463060233
4713,20151026,2.18,-0.12897859169886663
4714,20151027,2.14,-0.223069245998676
4715,20151028,2.14,-0.223069245998676
4716,20151029,2.15,-0.10829489620832297
4717,20151030,1.98,0.09996509322753319
4718,20151102,1.92,0.0822847714790931
4719,20151103,1.92,0.0822847714790931
4720,20151104,2.04,-0.10417708181417905
4721,20151105,2.04,-0.10417708181417905
4722,20151106,2.19,-0.17862363732778108
4723,20151109,2.19,-0.17862363732778108
4724,20151110,2.14,-0.223069245998676
4725,20151111,2.13,-0.3094404282478186
4726,20151112,2.05,-0.3505083081813959
4727,20151113,2.02,-0.503908634185791
4728,20151116,2.02,-0.503908634185791
4729,20151117,2.05,-0.3505083081813959
4730,20151118,2.1,-0.41377833714851964
4731,20151119,2.1,-0.41377833714851964
4732,20151120,2.18,-0.12897859169886663
4733,20151123,2.18,-0.12897859169886663
4734,20151124,2.14,-0.223069245998676
4735,20151125,2.14,-0.223069245998676
4736,20151126,2.14,-0.223069245998676
