,Day,Price,Sentiment
4507,20150105,3.22,-0.5340765909506724
4508,20150106,2.98,-0.6847892518226917
4509,20150107,3.08,-0.26503114287669843
4510,20150108,2.92,-0.4223715147146812
4511,20150109,2.96,-0.16054130976016706
4512,20150112,2.9,-0.4885369298549799
4513,20150113,2.92,-0.4223715147146812
4514,20150114,3.15,-0.5975115906733733
4515,20150115,3.32,-0.32654356154111713
4516,20150116,3.11,-0.33038857923104215
4517,20150120,2.94,-0.2493788473881208
4518,20150121,2.94,-0.2493788473881208
4519,20150122,2.95,-0.5107162159222823
4520,20150123,2.96,-0.16054130976016706
4521,20150126,2.92,-0.4223715147146812
4522,20150127,2.96,-0.16054130976016706
4523,20150128,2.89,-0.4621025725052907
4524,20150129,2.88,-0.3782148819703322
4525,20150130,2.88,-0.3782148819703322
4526,20150202,2.88,-0.3782148819703322
4527,20150203,2.67,-0.41471176078686345
4528,20150204,2.73,-0.6231827919299786
4529,20150205,2.66,-0.36771357976473296
4530,20150206,2.66,-0.36771357976473296
4531,20150209,2.62,-0.4093284366222528
4532,20150210,2.67,-0.41471176078686345
4533,20150211,2.86,-0.13341631224522224
4534,20150212,2.86,-0.13341631224522224
4535,20150213,2.75,-0.3872462465212895
4536,20150217,2.75,-0.3872462465212895
4537,20150218,2.92,-0.4223715147146812
4538,20150219,2.92,-0.4223715147146812
4539,20150220,3.02,-0.15906567986194903
4540,20150223,3.22,-0.5340765909506724
4541,20150224,3.22,-0.5340765909506724
4542,20150225,3.21,-0.43326998673952544
4543,20150226,3.21,-0.43326998673952544
4544,20150227,2.79,-0.29251602177436536
4545,20150302,2.79,-0.29251602177436536
4546,20150303,3.0,-0.5563210844993591
4547,20150304,3.27,-0.3034905516184293
4548,20150305,3.27,-0.3034905516184293
4549,20150306,2.89,-0.4621025725052907
4550,20150309,2.75,-0.3872462465212895
4551,20150310,2.76,-0.06701454864098476
4552,20150311,2.76,-0.06701454864098476
4553,20150312,2.82,-0.2932160301850392
4554,20150313,2.72,-0.2692102457468326
4555,20150316,2.68,-0.21291071061904615
4556,20150317,2.82,-0.2932160301850392
4557,20150318,2.8,-0.44237713286509883
4558,20150319,2.86,-0.13341631224522224
4559,20150320,2.86,-0.13341631224522224
4560,20150323,2.72,-0.2692102457468326
4561,20150324,2.79,-0.29251602177436536
4562,20150325,2.77,-0.31397464069036335
4563,20150326,2.77,-0.31397464069036335
4564,20150327,2.89,-0.4621025725052907
4565,20150330,2.64,-0.12106501483000241
4566,20150331,2.65,-0.2410498708486557
4567,20150401,2.62,-0.4093284366222528
4568,20150402,2.63,-0.5952682139781805
4569,20150406,2.63,-0.5952682139781805
4570,20150407,2.71,-0.23285375420863813
4571,20150408,2.71,-0.23285375420863813
4572,20150409,2.72,-0.2692102457468326
4573,20150410,2.58,-0.5047042828339797
4574,20150413,2.58,-0.5047042828339797
4575,20150414,2.58,-0.5047042828339797
4576,20150415,2.62,-0.4093284366222528
4577,20150416,2.61,-0.4688748029562143
4578,20150417,2.67,-0.41471176078686345
4579,20150420,2.57,-0.42565266444132877
4580,20150421,2.59,-0.22025752984560454
4581,20150422,2.63,-0.5952682139781805
4582,20150423,2.59,-0.22025752984560454
4583,20150424,2.59,-0.22025752984560454
4584,20150427,2.5,-0.3254536986351013
4585,20150428,2.55,-0.5260861963033676
4586,20150429,2.55,-0.5260861963033676
4587,20150430,2.56,-0.35933738029920137
4588,20150501,2.68,-0.21291071061904615
4589,20150504,2.72,-0.2692102457468326
4590,20150505,2.76,-0.06701454864098476
4591,20150506,2.76,-0.06701454864098476
4592,20150507,2.74,-0.5935421058764825
4593,20150508,2.78,-0.17130684852600098
4594,20150511,2.85,-0.3542225807905197
4595,20150512,2.85,-0.3542225807905197
4596,20150513,2.85,-0.3542225807905197
4597,20150514,2.87,-0.550800391114675
4598,20150515,2.96,-0.16054130976016706
4599,20150518,3.01,-0.2644420678798969
4600,20150519,3.01,-0.2644420678798969
4601,20150520,3.04,-0.6407300119216626
4602,20150521,2.96,-0.16054130976016706
4603,20150522,2.96,-0.16054130976016706
4604,20150526,2.82,-0.2932160301850392
4605,20150527,2.82,-0.2932160301850392
4606,20150528,2.78,-0.17130684852600098
4607,20150529,2.78,-0.17130684852600098
4608,20150601,2.78,-0.17130684852600098
4609,20150602,2.63,-0.5952682139781805
4610,20150603,2.65,-0.2410498708486557
4611,20150604,2.6,-0.45163859312350935
4612,20150605,2.6,-0.45163859312350935
4613,20150608,2.6,-0.45163859312350935
4614,20150609,2.72,-0.2692102457468326
4615,20150610,2.81,-0.6374160544230387
4616,20150611,2.88,-0.3782148819703322
4617,20150612,2.88,-0.3782148819703322
4618,20150615,2.89,-0.4621025725052907
4619,20150616,2.94,-0.2493788473881208
4620,20150617,2.93,-0.41990563158805555
4621,20150618,2.93,-0.41990563158805555
4622,20150619,2.81,-0.6374160544230387
4623,20150622,2.79,-0.29251602177436536
4624,20150623,2.83,-0.40699126628729015
4625,20150624,2.83,-0.40699126628729015
4626,20150625,2.8,-0.44237713286509883
4627,20150626,2.77,-0.31397464069036335
4628,20150629,2.77,-0.31397464069036335
4629,20150630,2.8,-0.44237713286509883
4630,20150701,2.78,-0.17130684852600098
4631,20150702,2.79,-0.29251602177436536
4632,20150703,2.79,-0.29251602177436536
4633,20150706,2.79,-0.29251602177436536
4634,20150707,2.77,-0.31397464069036335
4635,20150708,2.77,-0.31397464069036335
4636,20150709,2.7,-0.46998905677061814
4637,20150710,2.7,-0.46998905677061814
4638,20150713,2.88,-0.3782148819703322
