,Day,Price,Sentiment
0,20150105,3.22,-0.5340765909506724
1,20150106,2.98,-0.3370252274549924
2,20150107,3.08,-0.0653569812958057
3,20150108,2.92,-0.3265901460097386
4,20150109,2.96,-0.3744037116949374
5,20150112,2.9,-0.2879795787426141
6,20150113,2.92,-0.3265901460097386
7,20150114,3.15,-0.3090599041718703
8,20150115,3.32,-0.2890005065844609
9,20150116,3.11,-0.3871936614696796
10,20150120,2.94,-0.3576646172083341
11,20150121,2.94,-0.3576646172083341
12,20150122,2.95,-0.4405647791348971
13,20150123,2.96,-0.3744037116949374
14,20150126,2.92,-0.3265901460097386
15,20150127,2.96,-0.3744037116949374
16,20150128,2.89,-0.3986069560050964
17,20150129,2.88,-0.0143830661590282
18,20150130,2.88,-0.0143830661590282
19,20150202,2.88,-0.0143830661590282
20,20150203,2.67,-0.7690418305305334
21,20150204,2.73,-0.3630430503533436
22,20150205,2.66,-0.5578327373816416
23,20150206,2.66,-0.5578327373816416
24,20150209,2.62,-0.473056741631948
25,20150210,2.67,-0.7690418305305334
26,20150211,2.86,-0.5241784258530691
27,20150212,2.86,-0.5241784258530691
28,20150213,2.75,-0.193165870813223
29,20150217,2.75,-0.193165870813223
30,20150218,2.92,-0.3265901460097386
31,20150219,2.92,-0.3265901460097386
32,20150220,3.02,-0.2647015945269511
33,20150223,3.22,-0.5340765909506724
34,20150224,3.22,-0.5340765909506724
35,20150225,3.21,-0.4321380463930276
36,20150226,3.21,-0.4321380463930276
37,20150227,2.79,-0.3217151554731222
38,20150302,2.79,-0.3217151554731222
39,20150303,3.0,-0.3970408210387596
40,20150304,3.27,-0.4176868429550758
41,20150305,3.27,-0.4176868429550758
42,20150306,2.89,-0.3986069560050964
43,20150309,2.75,-0.193165870813223
44,20150310,2.76,-0.4834038133804614
45,20150311,2.76,-0.4834038133804614
46,20150312,2.82,-0.1226444232922333
47,20150313,2.72,-0.1242770013900903
48,20150316,2.68,-0.5839033734339935
49,20150317,2.82,-0.1226444232922333
50,20150318,2.8,-0.5047634129340832
51,20150319,2.86,-0.5241784258530691
52,20150320,2.86,-0.5241784258530691
53,20150323,2.72,-0.1242770013900903
54,20150324,2.79,-0.3217151554731222
55,20150325,2.77,-0.2954274920316843
56,20150326,2.77,-0.2954274920316843
57,20150327,2.89,-0.3986069560050964
58,20150330,2.64,-0.3366617824022586
59,20150331,2.65,-0.8192868037865713
60,20150401,2.62,-0.473056741631948
61,20150402,2.63,-0.4000471543807249
62,20150406,2.63,-0.4000471543807249
63,20150407,2.71,-0.2968936402064103
64,20150408,2.71,-0.2968936402064103
65,20150409,2.72,-0.1242770013900903
66,20150410,2.58,-0.3207287341356277
67,20150413,2.58,-0.3207287341356277
68,20150414,2.58,-0.3207287341356277
69,20150415,2.62,-0.473056741631948
70,20150416,2.61,0.0489645955654291
71,20150417,2.67,-0.7690418305305334
72,20150420,2.57,-0.4890455901622772
73,20150421,2.59,-0.4505395121299304
74,20150422,2.63,-0.4000471543807249
75,20150423,2.59,-0.4505395121299304
76,20150424,2.59,-0.4505395121299304
77,20150427,2.5,-0.2902010770944448
78,20150428,2.55,-0.7996637190763767
79,20150429,2.55,-0.7996637190763767
80,20150430,2.56,-0.5480467803203143
81,20150501,2.68,-0.5839033734339935
82,20150504,2.72,-0.1242770013900903
83,20150505,2.76,-0.4834038133804614
84,20150506,2.76,-0.4834038133804614
85,20150507,2.74,-0.2897709275667484
86,20150508,2.78,-0.3650257117473162
87,20150511,2.85,-0.5364674077584193
88,20150512,2.85,-0.5364674077584193
89,20150513,2.85,-0.5364674077584193
90,20150514,2.87,-0.1796249208542016
91,20150515,2.96,-0.3744037116949374
92,20150518,3.01,-0.3157625393225596
93,20150519,3.01,-0.3157625393225596
94,20150520,3.04,-0.2189698184912021
95,20150521,2.96,-0.3744037116949374
96,20150522,2.96,-0.3744037116949374
97,20150526,2.82,-0.1226444232922333
98,20150527,2.82,-0.1226444232922333
99,20150528,2.78,-0.3650257117473162
100,20150529,2.78,-0.3650257117473162
101,20150601,2.78,-0.3650257117473162
102,20150602,2.63,-0.4000471543807249
103,20150603,2.65,-0.8192868037865713
104,20150604,2.6,-0.3720721762913924
105,20150605,2.6,-0.3720721762913924
106,20150608,2.6,-0.3720721762913924
107,20150609,2.72,-0.1242770013900903
108,20150610,2.81,-0.349920120376807
109,20150611,2.88,-0.0143830661590282
110,20150612,2.88,-0.0143830661590282
111,20150615,2.89,-0.3986069560050964
112,20150616,2.94,-0.3576646172083341
113,20150617,2.93,-0.3383551847476225
114,20150618,2.93,-0.3383551847476225
115,20150619,2.81,-0.349920120376807
116,20150622,2.79,-0.3217151554731222
117,20150623,2.83,-0.1343161727373416
118,20150624,2.83,-0.1343161727373416
119,20150625,2.8,-0.5047634129340832
120,20150626,2.77,-0.2954274920316843
121,20150629,2.77,-0.2954274920316843
122,20150630,2.8,-0.5047634129340832
123,20150701,2.78,-0.3650257117473162
124,20150702,2.79,-0.3217151554731222
125,20150703,2.79,-0.3217151554731222
126,20150706,2.79,-0.3217151554731222
127,20150707,2.77,-0.2954274920316843
128,20150708,2.77,-0.2954274920316843
129,20150709,2.7,-0.4448337979041613
130,20150710,2.7,-0.4448337979041613
131,20150713,2.88,-0.0143830661590282
132,20150714,2.88,-0.0143830661590282
133,20150715,2.93,-0.3383551847476225
134,20150716,2.9,-0.2879795787426141
135,20150717,2.88,-0.0143830661590282
136,20150720,2.88,-0.0143830661590282
137,20150721,2.84,-0.4457995834258886
138,20150722,2.84,-0.4457995834258886
139,20150723,2.92,-0.3265901460097386
140,20150724,2.92,-0.3265901460097386
141,20150727,2.92,-0.3265901460097386
142,20150728,2.89,-0.3986069560050964
143,20150729,2.91,-0.2954111867226087
144,20150730,2.87,-0.1796249208542016
145,20150731,2.76,-0.4834038133804614
146,20150803,2.76,-0.4834038133804614
147,20150804,2.83,-0.1343161727373416
148,20150805,2.85,-0.5364674077584193
149,20150806,2.76,-0.4834038133804614
150,20150807,2.76,-0.4834038133804614
151,20150810,2.85,-0.5364674077584193
152,20150811,2.84,-0.4457995834258886
153,20150812,2.93,-0.3383551847476225
154,20150813,2.93,-0.3383551847476225
155,20150814,2.83,-0.1343161727373416
156,20150817,2.79,-0.3217151554731222
157,20150818,2.71,-0.2968936402064103
158,20150819,2.77,-0.2954274920316843
159,20150820,2.77,-0.2954274920316843
160,20150821,2.7,-0.4448337979041613
161,20150824,2.65,-0.8192868037865713
162,20150825,2.71,-0.2968936402064103
163,20150826,2.73,-0.3630430503533436
164,20150827,2.69,-0.121839091181755
165,20150828,2.69,-0.121839091181755
166,20150831,2.7,-0.4448337979041613
167,20150901,2.7,-0.4448337979041613
168,20150902,2.7,-0.4448337979041613
169,20150903,2.67,-0.7690418305305334
170,20150904,2.67,-0.7690418305305334
171,20150907,2.67,-0.7690418305305334
172,20150908,2.74,-0.2897709275667484
173,20150909,2.74,-0.2897709275667484
174,20150910,2.71,-0.2968936402064103
175,20150911,2.67,-0.7690418305305334
176,20150914,2.7,-0.4448337979041613
177,20150915,2.74,-0.2897709275667484
178,20150916,2.69,-0.121839091181755
179,20150917,2.69,-0.121839091181755
180,20150918,2.69,-0.121839091181755
181,20150921,2.61,0.0489645955654291
