,Day,Price,Sentiment
937,20150102,3.09,-0.3021973211031694
938,20150109,3.03,-0.31576253932255965
939,20150116,3.08,-0.06299331784248352
940,20150123,2.95,-0.28797957874261415
941,20150130,2.91,-0.44579958342588866
942,20150206,2.72,-0.531221866607666
943,20150213,2.75,-0.20471552702096793
944,20150220,2.9,-0.4490362417239409
945,20150227,3.13,-0.25194348853368026
946,20150306,3.04,-0.17697702118983635
947,20150313,2.76,-0.32171515547312224
948,20150320,2.8,-0.12981056020810053
949,20150327,2.79,-0.4417412647834191
950,20150403,2.64,-0.1561119705438614
951,20150410,2.67,-0.06096216119252718
952,20150417,2.61,-0.5489601171933688
953,20150424,2.6,-0.31014149349469405
954,20150501,2.57,-0.3758920935484079
955,20150508,2.75,-0.20471552702096793
956,20150515,2.88,-0.4536835883672421
957,20150522,2.99,-0.08375983742567208
958,20150529,2.8,-0.12981056020810053
959,20150605,2.65,-0.4502890683137454
960,20150612,2.78,-0.2642512653882687
961,20150619,2.9,-0.4490362417239409
962,20150626,2.8,-0.12981056020810053
963,20150703,2.79,-0.4417412647834191
964,20150710,2.75,-0.20471552702096793
965,20150717,2.89,-0.42449384698501
966,20150724,2.88,-0.4536835883672421
967,20150731,2.87,-0.45182303052682143
968,20150807,2.8,-0.12981056020810053
969,20150814,2.88,-0.4536835883672421
970,20150821,2.75,-0.20471552702096793
971,20150828,2.69,-0.21702135182343996
972,20150904,2.69,-0.21702135182343996
973,20150911,2.7,-0.31046395691541523
974,20150918,2.7,-0.31046395691541523
975,20150925,2.61,-0.5489601171933688
976,20151002,2.49,-0.2653097498875398
977,20151009,2.38,-0.19741098926617548
978,20151016,2.48,-0.058226555585861206
979,20151023,2.38,-0.19741098926617548
980,20151030,2.12,-0.39784670907717484
981,20151106,2.02,-0.4962821350647853
982,20151113,2.11,-0.42767318280843586
983,20151120,2.09,-0.17234690258136162
984,20151127,2.15,-0.08520053556332222
985,20151204,2.13,-0.237878761612452
986,20151211,1.96,-0.6994372468728286
987,20151218,1.72,-0.17511353240563318
988,20151225,1.68,-0.2422726796223567
989,20160101,2.27,-0.3560962757238975
990,20160108,2.38,-0.19741098926617548
991,20160115,2.32,-0.5268389341922907
992,20160122,2.2,-0.2589062727414645
993,20160129,2.22,-0.3925492832293877
994,20160205,2.11,-0.42767318280843586
995,20160212,2.16,-0.31212318631318897
996,20160219,1.94,-0.42964605528574723
997,20160226,1.82,0.06967748816196735
998,20160304,1.57,-0.07480407678163968
999,20160311,1.64,-0.34401426292382753
1000,20160318,1.79,-0.49703042209148407
1001,20160325,1.79,-0.49703042209148407
1002,20160401,1.86,-0.19615008166203132
1003,20160408,1.96,-0.6994372468728286
1004,20160415,1.9,0.18437418800133926
1005,20160422,1.91,-0.47694281202096206
1006,20160429,1.92,-0.31040741961735946
1007,20160506,1.96,-0.6994372468728286
1008,20160513,2.0,-0.21707178193789262
1009,20160520,1.89,0.04657052915829878
1010,20160527,1.84,-0.08458827894467574
1011,20160603,2.15,-0.08520053556332222
1012,20160610,2.36,-0.36128927996525395
1013,20160617,2.59,-0.40004715438072497
1014,20160624,2.75,-0.20471552702096793
1015,20160701,2.89,-0.42449384698501
1016,20160708,2.82,-0.34616480882351214
1017,20160715,2.81,-0.4166952921794011
1018,20160722,2.79,-0.4417412647834191
1019,20160729,2.85,-0.38547633244441104
1020,20160805,2.88,-0.4536835883672421
1021,20160812,2.77,-0.45163859312350935
1022,20160819,2.73,-0.18388885259628296
1023,20160826,2.82,-0.34616480882351214
1024,20160902,2.94,-0.19861222345095414
1025,20160909,2.87,-0.45182303052682143
1026,20160916,3.02,-0.19838663477164048
1027,20160923,3.11,-0.40220899077562183
1028,20160930,3.01,0.07468564808368683
1029,20161007,2.91,-0.44579958342588866
1030,20161014,3.17,-0.20683011756493494
1031,20161021,3.14,-0.3597381894405072
1032,20161028,2.72,-0.531221866607666
1033,20161104,2.5,-0.4687006129668309
1034,20161111,2.22,-0.3925492832293877
1035,20161118,2.44,-0.3385685304036507
1036,20161125,2.76,-0.32171515547312224
1037,20161202,3.21,-0.537834875858747
1038,20161209,3.69,-0.4190896233687034
1039,20161216,3.57,-0.32727765349241406
1040,20161223,3.51,-0.4252931922674179
1041,20161230,3.69,-0.4190896233687034
1042,20170106,3.47,-0.6012795899923031
1043,20170113,3.27,-0.33874259201379925
1044,20170120,3.29,-0.4152367791304222
1045,20170127,3.27,-0.33874259201379925
1046,20170203,3.12,-0.3379273471923975
1047,20170210,3.04,-0.17697702118983635
1048,20170217,2.87,-0.45182303052682143
1049,20170224,2.62,-0.2788916241664153
1050,20170303,2.52,-0.003444005663578327
1051,20170310,2.75,-0.20471552702096793
1052,20170317,2.96,-0.2804181289214354
1053,20170324,2.99,-0.08375983742567208
1054,20170331,3.03,-0.31576253932255965
1055,20170407,3.18,-0.23032871805704558
1056,20170414,3.05,-0.46825080995376295
1057,20170421,3.1,-0.5321348504378245
1058,20170428,3.09,-0.3021973211031694
1059,20170505,3.14,-0.3597381894405072
1060,20170512,3.12,-0.3379273471923975
1061,20170519,3.21,-0.537834875858747
1062,20170526,3.18,-0.23032871805704558
1063,20170602,3.03,-0.31576253932255965
1064,20170609,2.98,-0.055487627020249
1065,20170616,3.03,-0.31576253932255965
1066,20170623,2.89,-0.42449384698501
1067,20170630,3.01,0.07468564808368683
1068,20170707,2.95,-0.28797957874261415
1069,20170714,2.96,-0.2804181289214354
1070,20170721,3.09,-0.3021973211031694
1071,20170728,2.96,-0.2804181289214354
1072,20170804,2.8,-0.12981056020810053
1073,20170811,2.85,-0.38547633244441104
1074,20170818,2.95,-0.28797957874261415
1075,20170825,2.97,0.012128330194033109
1076,20170901,2.93,-0.4405647791348971
1077,20170908,2.91,-0.44579958342588866
1078,20170915,2.96,-0.2804181289214354
1079,20170922,3.09,-0.3021973211031694
1080,20170929,2.96,-0.2804181289214354
1081,20171006,2.84,-0.16977756069256708
1082,20171013,2.92,-0.26870981546548695
1083,20171020,2.84,-0.16977756069256708
1084,20171027,2.91,-0.44579958342588866
1085,20171103,2.78,-0.2642512653882687
1086,20171110,3.12,-0.3379273471923975
1087,20171117,3.1,-0.5321348504378245
1088,20171124,3.05,-0.46825080995376295
1089,20171201,2.94,-0.19861222345095414
1090,20171208,2.84,-0.16977756069256708
1091,20171215,2.77,-0.45163859312350935
1092,20171222,2.69,-0.21702135182343996
