Day,Price
20040903,4.84
20040910,4.56
20040917,5.04
20040924,5.44
20041001,5.73
20041008,5.92
20041015,5.61
20041022,6.7
20041029,7.38
20041105,6.92
20041112,6.12
20041119,5.81
20041126,5.16
20041203,6.61
20041210,6.08
20041217,7.03
20041224,7.0
20041231,6.26
20050107,5.74
20050114,6.11
20050121,6.4
20050128,6.4
20050204,6.25
20050211,6.08
20050218,6.0
20050225,6.13
20050304,6.62
20050311,6.82
20050318,7.09
20050325,7.15
20050401,7.22
20050408,7.49
20050415,7.11
20050422,7.0
20050429,6.95
20050506,6.58
20050513,6.59
20050520,6.42
20050527,6.33
20050603,6.49
20050610,7.11
20050617,7.36
20050624,7.52
20050701,7.09
20050708,7.64
20050715,7.79
20050722,7.65
20050729,7.56
20050805,8.46
20050812,9.07
20050819,9.53
20050826,9.81
20050902,11.6
20050909,11.14
20050916,10.94
20050923,13.46
20051007,13.67
20051014,13.4
20051021,13.36
20051028,13.71
20051104,10.86
20051111,9.22
20051118,10.26
20051125,10.88
20051202,11.89
20051209,14.21
20051216,14.49
20051223,13.06
20051230,9.93
20060106,9.42
20060113,8.63
20060120,8.67
20060127,8.22
20060203,8.36
20060210,7.8
20060217,7.25
20060224,7.39
20060303,6.71
20060310,6.44
20060317,7.06
20060324,7.1
20060331,7.11
20060407,6.98
20060414,6.81
20060421,7.63
20060428,7.17
20060505,6.61
20060512,6.55
20060519,5.92
20060526,5.96
20060602,6.16
20060609,6.06
20060616,6.3
20060623,6.5
20060630,5.97
20060707,5.39
20060714,5.74
20060721,6.04
20060728,6.82
20060804,8.08
20060811,7.43
20060818,6.84
20060825,7.09
20060901,6.04
20060908,5.53
20060915,5.15
20060922,4.8
20060929,4.17
20061006,4.32
20061013,5.07
20061020,6.22
20061027,7.39
20061103,7.11
20061110,7.04
20061117,7.39
20061124,7.59
20061201,7.93
20061208,7.51
20061215,7.01
20061222,6.26
20061229,5.6
20070105,5.5
20070112,6.13
20070119,6.52
20070126,7.29
20070202,7.71
20070209,8.31
20070216,8.43
20070223,7.46
20070302,7.34
20070309,7.32
20070316,6.86
20070323,6.91
20070330,7.32
20070406,7.55
20070413,7.83
20070420,7.51
20070427,7.48
20070504,7.68
20070511,7.56
20070518,7.74
20070525,7.56
20070601,7.65
20070608,7.76
20070615,7.51
20070622,7.36
20070629,6.71
20070706,6.27
20070713,6.4
20070720,6.37
20070727,5.76
20070803,6.3
20070810,6.35
20070817,7.08
20070824,5.93
20070831,5.51
20070907,5.66
20070914,6.03
20070921,6.21
20070928,6.33
20071005,6.65
20071012,6.68
20071019,7.1
20071026,6.39
20071102,6.93
20071109,6.95
20071116,7.19
20071123,6.88
20071130,7.44
20071207,7.12
20071214,7.17
20071221,7.12
20071228,6.97
20080104,7.57
20080111,7.84
20080118,8.33
20080125,7.87
20080201,8.02
20080208,7.87
20080215,8.47
20080222,8.89
20080229,9.16
20080307,9.43
20080314,9.74
20080321,9.09
20080328,9.24
20080404,9.68
20080411,9.88
20080418,10.13
20080425,10.54
20080502,10.75
20080509,11.11
20080516,11.36
20080523,11.31
20080530,11.67
20080606,12.29
20080613,12.59
20080620,12.88
20080627,12.89
20080704,13.2
20080711,12.3
20080718,11.3
20080725,9.93
20080801,9.15
20080808,8.71
20080815,8.1
20080822,7.9
20080829,8.16
20080905,7.54
20080912,7.69
20080919,7.91
20080926,7.74
20081003,7.3
20081010,6.68
20081017,6.68
20081024,6.75
20081031,6.44
20081107,6.76
20081114,6.68
20081121,6.67
20081128,6.61
20081205,6.44
20081212,5.68
20081219,5.72
20081226,5.41
20090102,5.64
20090109,5.88
20090116,5.42
20090123,4.8
20090130,4.74
20090206,4.81
20090213,4.72
20090220,4.34
